STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
IN012070800,"BOMBAY SANTACRUZ, IN",1/1/2000,0,78,93,
IN012070800,"BOMBAY SANTACRUZ, IN",1/2/2000,0,79,92,65
IN012070800,"BOMBAY SANTACRUZ, IN",1/3/2000,0,79,92,
IN012070800,"BOMBAY SANTACRUZ, IN",1/4/2000,0,79,91,63
IN012070800,"BOMBAY SANTACRUZ, IN",1/5/2000,0,79,91,64
IN012070800,"BOMBAY SANTACRUZ, IN",1/6/2000,0,78,91,63
IN012070800,"BOMBAY SANTACRUZ, IN",1/7/2000,0,76,,
IN012070800,"BOMBAY SANTACRUZ, IN",1/8/2000,0,76,93,58
IN012070800,"BOMBAY SANTACRUZ, IN",1/9/2000,0,76,93,59
IN012070800,"BOMBAY SANTACRUZ, IN",1/10/2000,0,78,,60
IN012070800,"BOMBAY SANTACRUZ, IN",1/11/2000,0,79,88,65
IN012070800,"BOMBAY SANTACRUZ, IN",1/12/2000,0,76,85,
IN012070800,"BOMBAY SANTACRUZ, IN",1/13/2000,0,76,,65
IN012070800,"BOMBAY SANTACRUZ, IN",1/14/2000,,76,83,
IN012070800,"BOMBAY SANTACRUZ, IN",1/15/2000,,72,84,
IN012070800,"BOMBAY SANTACRUZ, IN",1/16/2000,,75,,56
IN012070800,"BOMBAY SANTACRUZ, IN",1/17/2000,,83,96,67
IN012070800,"BOMBAY SANTACRUZ, IN",1/18/2000,,84,,71
IN012070800,"BOMBAY SANTACRUZ, IN",1/19/2000,,84,96,69
IN012070800,"BOMBAY SANTACRUZ, IN",1/20/2000,,80,90,66
IN012070800,"BOMBAY SANTACRUZ, IN",1/21/2000,,76,83,64
IN012070800,"BOMBAY SANTACRUZ, IN",1/22/2000,,76,,64
IN012070800,"BOMBAY SANTACRUZ, IN",1/23/2000,,75,85,
IN012070800,"BOMBAY SANTACRUZ, IN",1/24/2000,,78,90,62
IN012070800,"BOMBAY SANTACRUZ, IN",1/25/2000,,79,92,
IN012070800,"BOMBAY SANTACRUZ, IN",1/26/2000,,78,91,62
IN012070800,"BOMBAY SANTACRUZ, IN",1/27/2000,,79,91,63
IN012070800,"BOMBAY SANTACRUZ, IN",1/28/2000,,80,94,65
IN012070800,"BOMBAY SANTACRUZ, IN",1/29/2000,,81,,67
IN012070800,"BOMBAY SANTACRUZ, IN",1/30/2000,,81,93,63
IN012070800,"BOMBAY SANTACRUZ, IN",1/31/2000,,79,,
IN012070800,"BOMBAY SANTACRUZ, IN",2/1/2000,,76,84,65
IN012070800,"BOMBAY SANTACRUZ, IN",2/2/2000,,76,,66
IN012070800,"BOMBAY SANTACRUZ, IN",2/3/2000,,75,,
IN012070800,"BOMBAY SANTACRUZ, IN",2/4/2000,,75,84,62
IN012070800,"BOMBAY SANTACRUZ, IN",2/5/2000,,74,83,65
IN012070800,"BOMBAY SANTACRUZ, IN",2/6/2000,,74,82,65
IN012070800,"BOMBAY SANTACRUZ, IN",2/7/2000,,74,82,
IN012070800,"BOMBAY SANTACRUZ, IN",2/8/2000,,73,83,58
IN012070800,"BOMBAY SANTACRUZ, IN",2/9/2000,,74,,57
IN012070800,"BOMBAY SANTACRUZ, IN",2/10/2000,,74,84,62
IN012070800,"BOMBAY SANTACRUZ, IN",2/11/2000,,74,81,
IN012070800,"BOMBAY SANTACRUZ, IN",2/12/2000,,73,83,63
IN012070800,"BOMBAY SANTACRUZ, IN",2/13/2000,,75,85,58
IN012070800,"BOMBAY SANTACRUZ, IN",2/14/2000,,79,,63
IN012070800,"BOMBAY SANTACRUZ, IN",2/15/2000,,82,92,68
IN012070800,"BOMBAY SANTACRUZ, IN",2/16/2000,,78,91,
IN012070800,"BOMBAY SANTACRUZ, IN",2/17/2000,,77,,
IN012070800,"BOMBAY SANTACRUZ, IN",2/18/2000,,77,88,61
IN012070800,"BOMBAY SANTACRUZ, IN",2/19/2000,,75,83,62
IN012070800,"BOMBAY SANTACRUZ, IN",2/20/2000,,74,82,65
IN012070800,"BOMBAY SANTACRUZ, IN",2/21/2000,,75,82,66
IN012070800,"BOMBAY SANTACRUZ, IN",2/22/2000,,76,85,67
IN012070800,"BOMBAY SANTACRUZ, IN",2/23/2000,,77,86,
